                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6315,                 1.8447,                0.94597,                0.40116,                0.47998,                0.38377,                0.20085,                 1.7172,                 1.6921,                0.92918,               0.070003,              0.0033331,              0.0033331
                      1,                 1.7385,                 1.7358,                0.97738,                0.41097,                0.51952,                0.41228,                0.21902,                 1.6672,                 1.6261,                0.92155,               0.039343,              0.0060064,              0.0060064
                      2,                 1.7964,                 1.7938,                 1.0004,                0.41443,                0.47509,                0.37791,                0.20352,                 1.7274,                 1.7088,                0.93602,              0.0080226,              0.0080198,              0.0080198
                      3,                 1.7537,                 1.7351,                0.99194,                0.41673,                 0.5192,                0.42944,                0.23705,                  1.599,                 1.5689,                 0.9166,                0.00703,                0.00703,                0.00703
                      4,                 1.6484,                 1.6052,                0.96984,                0.43333,                0.54982,                0.46705,                0.26415,                 1.5186,                 1.4749,                0.89816,                0.00703,                0.00703,                0.00703
                      5,                 1.5507,                 1.5013,                0.94447,                0.47917,                 0.5347,                0.49052,                0.28547,                  1.454,                 1.4325,                0.89053,                0.00604,                0.00604,                0.00604
                      6,                 1.4798,                 1.4369,                0.92996,                0.46503,                0.55942,                0.50323,                0.29746,                 1.4242,                 1.3995,                0.88697,                0.00505,                0.00505,                0.00505
                      7,                 1.4128,                 1.3523,                0.91652,                0.49849,                0.54678,                0.52356,                0.31121,                 1.3802,                 1.3464,                 0.8785,                0.00406,                0.00406,                0.00406
                      8,                 1.3602,                 1.2977,                0.90565,                0.48071,                0.55848,                0.52716,                0.31587,                  1.365,                 1.3264,                0.87594,                0.00307,                0.00307,                0.00307
                      9,                 1.3106,                  1.246,                0.89501,                0.49638,                0.55743,                0.53807,                0.32604,                 1.3438,                  1.304,                0.87103,                0.00208,                0.00208,                0.00208
