                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5576,                 1.7221,                0.93055,                0.43485,                0.50933,                 0.4421,                0.24358,                 1.5333,                 1.5586,                  0.894,               0.070003,              0.0033331,              0.0033331
                      1,                 1.6357,                 1.6242,                0.95185,                 0.4188,                0.52591,                0.42956,                0.23994,                 1.5531,                 1.5422,                0.90419,               0.039673,              0.0063364,              0.0063364
                      2,                  1.709,                 1.6997,                0.97219,                0.42674,                0.51971,                0.43419,                0.24297,                 1.5488,                  1.564,                0.91014,              0.0090125,              0.0090097,              0.0090097
                      3,                 1.6829,                 1.6801,                0.96912,                0.44061,                0.55144,                0.46477,                0.26213,                 1.5109,                 1.4893,                 0.9022,               0.008515,               0.008515,               0.008515
                      4,                 1.5701,                 1.5392,                0.94624,                0.45754,                0.55502,                 0.4835,                0.28144,                 1.4322,                 1.4312,                 0.8866,               0.008515,               0.008515,               0.008515
                      5,                 1.4935,                 1.4657,                0.92924,                0.46324,                0.56839,                0.50548,                0.30069,                 1.3759,                 1.3636,                0.88222,                0.00802,                0.00802,                0.00802
                      6,                 1.4455,                 1.4029,                0.92149,                0.47513,                0.55728,                0.52004,                0.31605,                  1.342,                 1.3333,                0.87658,               0.007525,               0.007525,               0.007525
                      7,                 1.4123,                 1.3687,                0.91154,                0.49567,                0.56328,                0.53041,                0.32164,                 1.3314,                 1.3123,                0.87153,                0.00703,                0.00703,                0.00703
                      8,                 1.3735,                 1.3303,                0.90816,                0.50026,                0.56894,                 0.5408,                0.33108,                 1.3025,                 1.2832,                0.86875,               0.006535,               0.006535,               0.006535
                      9,                 1.3449,                  1.305,                0.89984,                0.50372,                0.56277,                0.54791,                0.33741,                 1.2856,                 1.2642,                0.86651,                0.00604,                0.00604,                0.00604
                     10,                 1.3682,                 1.3158,                0.90773,                0.50422,                0.55839,                0.55116,                0.33783,                 1.3015,                 1.2663,                0.86904,               0.005545,               0.005545,               0.005545
                     11,                 1.3532,                 1.2921,                0.90401,                  0.508,                0.56224,                0.55616,                0.34134,                 1.2937,                 1.2604,                0.86644,                0.00505,                0.00505,                0.00505
                     12,                 1.3257,                 1.2666,                0.89698,                0.51739,                0.56416,                0.56431,                0.34493,                 1.2857,                 1.2469,                0.86438,               0.004555,               0.004555,               0.004555
                     13,                 1.3048,                 1.2462,                0.89176,                0.51133,                0.56792,                0.56391,                0.34653,                 1.2768,                 1.2428,                0.86289,                0.00406,                0.00406,                0.00406
                     14,                 1.2829,                 1.2191,                0.88995,                0.51052,                0.57711,                  0.569,                0.35032,                 1.2731,                 1.2358,                0.86256,               0.003565,               0.003565,               0.003565
                     15,                 1.2585,                 1.1918,                0.88547,                0.50885,                0.57986,                0.57118,                0.35289,                 1.2649,                 1.2298,                0.86191,                0.00307,                0.00307,                0.00307
                     16,                 1.2398,                 1.1754,                0.87981,                0.50971,                 0.5825,                0.57211,                0.35518,                 1.2593,                 1.2247,                0.86095,               0.002575,               0.002575,               0.002575
                     17,                  1.212,                 1.1511,                0.87545,                0.51107,                0.57764,                0.57361,                0.35677,                 1.2577,                 1.2217,                0.86055,                0.00208,                0.00208,                0.00208
                     18,                 1.1952,                 1.1297,                0.87366,                0.51547,                0.57613,                0.57563,                0.35818,                 1.2559,                 1.2194,                0.85989,               0.001585,               0.001585,               0.001585
                     19,                 1.1705,                 1.1063,                0.86851,                0.51361,                0.57917,                0.57669,                0.35972,                 1.2531,                 1.2166,                0.85939,                0.00109,                0.00109,                0.00109
