                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6081,                 1.8133,                0.93599,                0.42451,                0.50716,                0.41814,                0.22077,                 1.6141,                 1.5748,                0.90054,               0.070003,              0.0033331,              0.0033331
                      1,                 1.6501,                 1.6395,                0.94633,                0.43463,                0.52118,                 0.4343,                0.23728,                 1.6065,                 1.5638,                0.90338,               0.039673,              0.0063364,              0.0063364
                      2,                 1.7219,                 1.7169,                0.97166,                0.41366,                0.51394,                0.41616,                0.22664,                 1.5919,                 1.6059,                0.91605,              0.0090125,              0.0090097,              0.0090097
                      3,                 1.6967,                 1.6959,                0.97017,                0.43584,                0.53605,                 0.4533,                0.25331,                 1.5148,                 1.5034,                0.90313,               0.008515,               0.008515,               0.008515
                      4,                 1.5916,                  1.562,                0.95095,                0.45369,                0.54473,                0.47261,                0.27002,                 1.4562,                 1.4569,                0.89122,               0.008515,               0.008515,               0.008515
                      5,                 1.5209,                 1.4914,                0.93369,                0.46839,                0.56643,                 0.4961,                0.28869,                 1.4127,                 1.3857,                0.88984,                0.00802,                0.00802,                0.00802
                      6,                 1.4692,                  1.428,                0.92474,                0.47605,                0.55278,                0.51182,                0.30273,                 1.3745,                 1.3651,                0.88126,               0.007525,               0.007525,               0.007525
                      7,                 1.4391,                 1.3957,                0.91546,                0.52104,                 0.5428,                0.52743,                0.31717,                  1.345,                 1.3252,                0.87522,                0.00703,                0.00703,                0.00703
                      8,                 1.4049,                 1.3597,                0.91377,                0.50598,                0.55287,                 0.5343,                0.32293,                 1.3188,                 1.3121,                0.87284,               0.006535,               0.006535,               0.006535
                      9,                 1.3778,                 1.3367,                0.90541,                 0.5036,                0.56037,                 0.5345,                0.32484,                 1.3042,                 1.2911,                0.87317,                0.00604,                0.00604,                0.00604
                     10,                 1.3918,                  1.342,                0.91166,                0.50968,                0.55247,                0.53864,                 0.3246,                 1.3267,                 1.2926,                0.87524,               0.005545,               0.005545,               0.005545
                     11,                 1.3803,                 1.3235,                 0.9089,                0.51951,                0.54885,                0.54293,                0.32922,                 1.3162,                 1.2836,                0.87159,                0.00505,                0.00505,                0.00505
                     12,                 1.3522,                 1.2955,                0.90145,                0.52129,                0.54964,                0.54635,                0.33271,                 1.3089,                  1.278,                0.87081,               0.004555,               0.004555,               0.004555
                     13,                 1.3346,                 1.2745,                0.89755,                0.52536,                0.55079,                0.55062,                0.33553,                 1.3032,                 1.2671,                0.87034,                0.00406,                0.00406,                0.00406
                     14,                 1.3103,                 1.2484,                0.89412,                0.52673,                0.55031,                0.55349,                0.33805,                 1.2971,                 1.2578,                0.86904,               0.003565,               0.003565,               0.003565
                     15,                 1.2872,                 1.2227,                 0.8909,                0.52294,                0.55682,                0.55605,                0.33998,                 1.2943,                 1.2557,                0.86835,                0.00307,                0.00307,                0.00307
                     16,                 1.2677,                 1.2079,                0.88346,                0.52115,                0.56272,                0.55862,                0.34216,                 1.2914,                 1.2508,                0.86778,               0.002575,               0.002575,               0.002575
                     17,                 1.2409,                 1.1822,                 0.8797,                0.51889,                0.56754,                0.56059,                0.34387,                 1.2893,                 1.2467,                0.86759,                0.00208,                0.00208,                0.00208
                     18,                 1.2233,                 1.1622,                0.87846,                0.52336,                0.56636,                 0.5623,                0.34511,                 1.2895,                 1.2446,                0.86751,               0.001585,               0.001585,               0.001585
                     19,                  1.196,                 1.1342,                0.87241,                0.52667,                0.56555,                0.56354,                0.34591,                  1.288,                 1.2423,                0.86733,                0.00109,                0.00109,                0.00109
