                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8607,                 2.4132,                 1.0994,                0.35188,                0.41345,                 0.3043,                0.15244,                 1.8092,                 1.9559,                 0.9317,               0.070002,              0.0033331,              0.0033331
                      1,                 1.8098,                 2.0066,                 1.0802,                0.39643,                0.44726,                0.34125,                0.17324,                    1.8,                 1.8268,                0.93156,               0.039782,              0.0064464,              0.0064464
                      2,                 1.8534,                 2.0174,                 1.1092,                0.39495,                0.46273,                0.35492,                0.18361,                 1.7559,                 1.7791,                0.93204,              0.0093423,              0.0093398,              0.0093398
                      3,                 1.8084,                 1.9305,                 1.1004,                0.39653,                0.48225,                  0.372,                 0.1944,                 1.6799,                  1.688,                0.92341,                0.00901,                0.00901,                0.00901
                      4,                 1.7237,                 1.8316,                 1.0682,                 0.4063,                0.50349,                 0.3894,                0.20964,                 1.6451,                 1.6561,                0.91493,                0.00901,                0.00901,                0.00901
                      5,                   1.66,                 1.7495,                 1.0491,                0.42587,                0.52053,                0.41726,                0.22227,                 1.6202,                 1.6024,                0.90891,                0.00868,                0.00868,                0.00868
                      6,                  1.624,                 1.7104,                 1.0392,                0.43405,                0.51766,                0.42871,                0.23169,                 1.5927,                 1.5689,                0.90688,                0.00835,                0.00835,                0.00835
                      7,                 1.5884,                 1.6705,                 1.0273,                0.43426,                0.53463,                0.44464,                 0.2454,                 1.5532,                 1.5269,                0.90293,                0.00802,                0.00802,                0.00802
                      8,                 1.5596,                  1.636,                 1.0192,                0.44794,                0.53101,                0.44918,                 0.2504,                 1.5401,                 1.5072,                0.89898,                0.00769,                0.00769,                0.00769
                      9,                 1.5502,                 1.6105,                 1.0172,                0.44472,                0.53951,                0.45409,                0.25377,                 1.5253,                 1.4916,                0.89805,                0.00736,                0.00736,                0.00736
                     10,                 1.5256,                 1.6051,                 1.0089,                0.44869,                 0.5341,                0.46098,                0.25827,                 1.5097,                 1.4815,                0.89604,                0.00703,                0.00703,                0.00703
                     11,                 1.5057,                 1.5793,                 1.0031,                0.44781,                0.54167,                0.46713,                0.26144,                 1.5081,                 1.4707,                0.89551,                 0.0067,                 0.0067,                 0.0067
                     12,                  1.487,                 1.5509,                0.99898,                0.45166,                0.54637,                0.47026,                0.26517,                  1.498,                 1.4596,                0.89359,                0.00637,                0.00637,                0.00637
                     13,                 1.4778,                 1.5465,                0.99653,                0.45764,                0.54121,                0.47325,                 0.2678,                  1.486,                 1.4496,                 0.8918,                0.00604,                0.00604,                0.00604
                     14,                 1.4674,                 1.5281,                0.99386,                0.45651,                 0.5458,                 0.4755,                0.26921,                 1.4823,                 1.4451,                0.89156,                0.00571,                0.00571,                0.00571
                     15,                 1.4474,                 1.5102,                0.98491,                0.46345,                0.54128,                0.47818,                0.27085,                  1.479,                 1.4397,                0.89134,                0.00538,                0.00538,                0.00538
                     16,                 1.4383,                 1.5028,                0.98562,                0.46724,                0.53821,                0.48026,                0.27208,                 1.4762,                 1.4369,                0.89087,                0.00505,                0.00505,                0.00505
                     17,                 1.4225,                 1.4813,                0.98287,                0.46269,                0.54097,                0.48166,                0.27335,                 1.4712,                 1.4324,                0.88992,                0.00472,                0.00472,                0.00472
                     18,                 1.4136,                 1.4725,                0.97939,                0.46311,                0.54013,                0.48296,                0.27514,                  1.468,                 1.4296,                0.88951,                0.00439,                0.00439,                0.00439
                     19,                 1.4033,                 1.4623,                0.97625,                0.46345,                0.54062,                0.48409,                0.27618,                  1.464,                 1.4268,                0.88897,                0.00406,                0.00406,                0.00406
                     20,                  1.431,                 1.4638,                0.97082,                  0.465,                0.54168,                0.48531,                0.27648,                 1.4611,                 1.4242,                0.88846,                0.00373,                0.00373,                0.00373
                     21,                 1.4052,                 1.4414,                0.96291,                0.46468,                0.54674,                0.48668,                0.27701,                 1.4593,                 1.4211,                0.88823,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.3933,                 1.4132,                0.95962,                0.46532,                0.55049,                0.48831,                0.27872,                 1.4568,                 1.4179,                0.88771,                0.00307,                0.00307,                0.00307
                     23,                 1.3815,                 1.4046,                0.95494,                0.46559,                0.54968,                0.48984,                0.27948,                 1.4552,                 1.4147,                0.88741,                0.00274,                0.00274,                0.00274
                     24,                 1.3683,                 1.3798,                0.95223,                0.46457,                0.54829,                0.48973,                0.28014,                  1.454,                 1.4125,                0.88722,                0.00241,                0.00241,                0.00241
                     25,                 1.3488,                 1.3641,                0.94815,                 0.4661,                0.54656,                 0.4904,                0.28082,                 1.4516,                 1.4106,                0.88656,                0.00208,                0.00208,                0.00208
                     26,                  1.328,                 1.3344,                0.94274,                0.46954,                0.54833,                0.49242,                0.28187,                 1.4509,                 1.4081,                0.88607,                0.00175,                0.00175,                0.00175
                     27,                 1.3097,                 1.3204,                0.93811,                0.46912,                0.54945,                0.49386,                0.28307,                 1.4493,                 1.4058,                0.88557,                0.00142,                0.00142,                0.00142
                     28,                 1.2929,                 1.3038,                0.93524,                0.47179,                0.54923,                0.49594,                0.28419,                 1.4491,                 1.4032,                0.88524,                0.00109,                0.00109,                0.00109
                     29,                 1.2745,                 1.2778,                0.92762,                0.47339,                0.54835,                0.49681,                0.28548,                 1.4475,                 1.4005,                0.88441,                0.00076,                0.00076,                0.00076
