                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7987,                 2.1791,                0.96383,                0.39839,                0.46418,                0.34809,                0.17504,                 1.8252,                 1.7651,                0.92187,               0.070003,              0.0033331,              0.0033331
                      1,                 1.8275,                 1.8459,                0.97227,                0.39382,                0.48659,                0.35686,                0.17845,                 1.7755,                 1.7666,                0.92759,               0.039343,              0.0060064,              0.0060064
                      2,                 1.8581,                 1.8715,                0.99414,                0.40221,                0.47362,                0.35115,                0.17949,                 1.7782,                 1.7524,                0.93338,              0.0080226,              0.0080198,              0.0080198
                      3,                 1.8136,                 1.8202,                0.99149,                0.42061,                 0.4961,                 0.3988,                0.21297,                 1.6442,                 1.6532,                0.91765,                0.00703,                0.00703,                0.00703
                      4,                  1.716,                 1.7025,                0.97424,                0.42158,                0.53378,                0.43252,                0.23674,                 1.5731,                 1.5591,                0.90978,                0.00703,                0.00703,                0.00703
                      5,                 1.6283,                 1.6011,                0.95404,                 0.4491,                 0.5321,                0.44576,                0.24959,                 1.5227,                 1.5327,                0.89706,                0.00604,                0.00604,                0.00604
                      6,                 1.5593,                 1.5326,                0.93893,                0.44838,                0.54652,                0.46545,                0.26069,                 1.5014,                 1.4856,                0.89547,                0.00505,                0.00505,                0.00505
                      7,                 1.4973,                 1.4495,                0.92634,                0.47629,                0.54543,                0.48948,                0.27798,                 1.4609,                 1.4298,                0.88693,                0.00406,                0.00406,                0.00406
                      8,                   1.45,                 1.4026,                0.91602,                0.46895,                0.55575,                0.49228,                0.28326,                 1.4556,                 1.4272,                0.88627,                0.00307,                0.00307,                0.00307
                      9,                 1.3921,                 1.3464,                0.90454,                0.46868,                0.55524,                0.49644,                0.28734,                 1.4393,                 1.4044,                  0.884,                0.00208,                0.00208,                0.00208
