                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.676,                 2.0043,                 1.0457,                0.39801,                0.48517,                0.36558,                0.19408,                 1.6683,                  1.685,                  0.907,               0.070002,              0.0033331,              0.0033331
                      1,                  1.662,                 1.7771,                 1.0358,                0.41659,                0.48807,                0.39075,                0.20744,                 1.6536,                 1.6661,                0.90346,               0.039782,              0.0064464,              0.0064464
                      2,                 1.7501,                 1.8728,                 1.0747,                0.40079,                0.50515,                0.39042,                0.20678,                 1.6188,                 1.6781,                0.92057,              0.0093423,              0.0093398,              0.0093398
                      3,                 1.7239,                 1.8206,                 1.0739,                0.42788,                0.51374,                0.41425,                0.22158,                 1.6056,                 1.5772,                0.91164,                0.00901,                0.00901,                0.00901
                      4,                 1.6303,                 1.7178,                 1.0443,                 0.4174,                0.54209,                0.42929,                0.23924,                 1.5418,                 1.5352,                0.89934,                0.00901,                0.00901,                0.00901
                      5,                 1.5634,                 1.6299,                 1.0234,                0.43616,                0.55167,                0.46132,                0.25974,                 1.4896,                 1.4788,                0.89139,                0.00868,                0.00868,                0.00868
                      6,                  1.522,                  1.585,                 1.0129,                0.44944,                0.55728,                0.47216,                0.27122,                 1.4612,                 1.4423,                0.89037,                0.00835,                0.00835,                0.00835
                      7,                 1.4939,                 1.5575,                  1.004,                0.45716,                0.56009,                0.48711,                0.28063,                 1.4354,                   1.41,                0.88556,                0.00802,                0.00802,                0.00802
                      8,                 1.4631,                 1.5175,                0.99522,                0.46764,                0.55603,                0.49025,                0.28578,                 1.4257,                 1.3885,                 0.8828,                0.00769,                0.00769,                0.00769
                      9,                 1.4486,                 1.4896,                0.99209,                0.47536,                0.54479,                0.49606,                0.29081,                  1.407,                 1.3846,                0.87881,                0.00736,                0.00736,                0.00736
                     10,                 1.4247,                 1.4895,                0.98394,                0.47996,                0.55837,                0.50468,                 0.2965,                 1.3925,                 1.3689,                0.87619,                0.00703,                0.00703,                0.00703
                     11,                  1.402,                 1.4626,                0.97932,                 0.4885,                0.54702,                 0.5085,                0.29934,                 1.3833,                 1.3581,                0.87463,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.3835,                 1.4378,                0.97513,                0.49058,                0.55171,                0.51054,                0.30298,                  1.375,                 1.3498,                0.87549,                0.00637,                0.00637,                0.00637
                     13,                 1.3784,                 1.4312,                 0.9733,                0.48833,                 0.5538,                0.51462,                0.30398,                 1.3681,                 1.3434,                0.87583,                0.00604,                0.00604,                0.00604
                     14,                 1.3661,                 1.4118,                0.96934,                0.49014,                0.55463,                0.51567,                0.30549,                 1.3614,                 1.3373,                0.87591,                0.00571,                0.00571,                0.00571
                     15,                 1.3481,                 1.3937,                0.96282,                0.48426,                0.56453,                0.51737,                0.30727,                 1.3569,                 1.3318,                0.87512,                0.00538,                0.00538,                0.00538
                     16,                 1.3335,                 1.3837,                0.96199,                0.48511,                 0.5607,                0.51833,                0.30938,                 1.3529,                 1.3263,                0.87418,                0.00505,                0.00505,                0.00505
                     17,                 1.3219,                 1.3679,                0.96144,                0.49174,                0.55874,                0.52102,                0.31159,                 1.3493,                  1.322,                 0.8732,                0.00472,                0.00472,                0.00472
                     18,                 1.3098,                 1.3555,                0.95647,                0.49504,                0.55584,                0.52335,                0.31254,                 1.3456,                  1.318,                0.87266,                0.00439,                0.00439,                0.00439
                     19,                 1.2982,                 1.3431,                0.95258,                0.49677,                0.55645,                0.52441,                0.31355,                 1.3416,                 1.3141,                0.87188,                0.00406,                0.00406,                0.00406
                     20,                 1.3226,                 1.3458,                0.94514,                0.49963,                0.55342,                0.52642,                0.31489,                  1.338,                 1.3112,                0.87127,                0.00373,                0.00373,                0.00373
                     21,                 1.3046,                 1.3254,                0.93951,                0.49823,                0.55518,                0.52695,                0.31547,                 1.3348,                 1.3089,                0.87103,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.2914,                 1.3071,                0.93737,                 0.5018,                0.55203,                0.52892,                0.31679,                 1.3335,                 1.3065,                 0.8707,                0.00307,                0.00307,                0.00307
                     23,                  1.279,                 1.2929,                0.93131,                0.49888,                  0.554,                0.53025,                 0.3183,                 1.3331,                 1.3038,                 0.8709,                0.00274,                0.00274,                0.00274
                     24,                 1.2646,                 1.2665,                0.92879,                0.50113,                0.55407,                0.53112,                0.31866,                 1.3319,                 1.3019,                0.87074,                0.00241,                0.00241,                0.00241
                     25,                 1.2455,                 1.2487,                 0.9252,                0.50264,                0.55307,                0.53177,                0.31975,                 1.3311,                 1.2994,                0.87082,                0.00208,                0.00208,                0.00208
                     26,                 1.2233,                  1.215,                0.92031,                0.50224,                0.55707,                0.53282,                0.32076,                 1.3298,                 1.2975,                0.87034,                0.00175,                0.00175,                0.00175
                     27,                 1.2022,                 1.2032,                0.91371,                0.50373,                0.55735,                0.53529,                0.32173,                 1.3285,                 1.2945,                0.87005,                0.00142,                0.00142,                0.00142
                     28,                 1.1866,                 1.1865,                0.91071,                0.50454,                0.55706,                0.53599,                0.32349,                  1.327,                 1.2922,                0.86961,                0.00109,                0.00109,                0.00109
                     29,                 1.1674,                  1.157,                0.90466,                0.50648,                0.55562,                0.53716,                0.32414,                 1.3255,                 1.2899,                0.86915,                0.00076,                0.00076,                0.00076
