                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5211,                 1.6711,                0.92378,                0.44696,                0.51491,                0.46297,                0.25608,                 1.5606,                 1.5113,                0.88534,               0.070003,              0.0033331,              0.0033331
                      1,                 1.6028,                 1.5805,                0.94586,                0.42655,                0.53226,                0.44827,                0.25072,                 1.5605,                 1.5291,                0.90306,               0.039673,              0.0063364,              0.0063364
                      2,                 1.6859,                 1.6759,                0.96744,                0.44417,                 0.5349,                0.45332,                0.25307,                 1.5396,                 1.5326,                0.90909,              0.0090125,              0.0090097,              0.0090097
                      3,                 1.6609,                 1.6548,                0.96512,                0.44091,                0.55168,                0.47072,                0.26775,                 1.4788,                 1.4667,                0.89819,               0.008515,               0.008515,               0.008515
                      4,                 1.5533,                 1.5167,                0.94411,                0.46475,                0.54506,                0.48694,                0.28322,                 1.4111,                 1.4141,                0.88743,               0.008515,               0.008515,               0.008515
                      5,                 1.4722,                 1.4415,                0.92558,                0.47621,                0.55829,                0.50783,                0.30556,                 1.3727,                 1.3531,                0.88188,                0.00802,                0.00802,                0.00802
                      6,                 1.4283,                 1.3802,                0.91929,                0.49374,                0.55146,                0.52567,                0.32034,                 1.3232,                 1.3283,                0.87348,               0.007525,               0.007525,               0.007525
                      7,                 1.3905,                 1.3497,                 0.9083,                0.51337,                0.55328,                0.53704,                0.33019,                 1.3068,                 1.2968,                0.86913,                0.00703,                0.00703,                0.00703
                      8,                 1.3591,                 1.3134,                0.90622,                0.51509,                0.55705,                0.54862,                0.34071,                 1.2734,                 1.2622,                0.86976,               0.006535,               0.006535,               0.006535
                      9,                 1.3273,                 1.2853,                0.89644,                0.51972,                0.55026,                0.55413,                0.34627,                 1.2608,                 1.2503,                0.86665,                0.00604,                0.00604,                0.00604
                     10,                 1.3533,                 1.2983,                0.90464,                0.51983,                0.56888,                 0.5592,                0.34536,                 1.2685,                 1.2501,                0.86619,               0.005545,               0.005545,               0.005545
                     11,                 1.3365,                 1.2794,                0.90049,                0.51862,                0.56556,                0.56266,                0.34801,                 1.2696,                  1.242,                0.86641,                0.00505,                0.00505,                0.00505
                     12,                 1.3074,                 1.2526,                0.89418,                0.51843,                0.55695,                0.56235,                0.34909,                  1.265,                 1.2393,                0.86569,               0.004555,               0.004555,               0.004555
                     13,                 1.2852,                 1.2252,                0.88842,                0.51644,                0.56615,                  0.564,                 0.3519,                 1.2542,                 1.2307,                0.86499,                0.00406,                0.00406,                0.00406
                     14,                 1.2668,                 1.2018,                0.88697,                0.51572,                0.57123,                0.56692,                0.35417,                 1.2498,                 1.2237,                0.86433,               0.003565,               0.003565,               0.003565
                     15,                 1.2411,                 1.1784,                 0.8837,                0.51568,                0.57114,                0.56969,                0.35751,                 1.2435,                 1.2161,                0.86376,                0.00307,                0.00307,                0.00307
                     16,                 1.2232,                 1.1592,                 0.8764,                0.51669,                0.57152,                0.57269,                0.35956,                 1.2387,                 1.2125,                0.86288,               0.002575,               0.002575,               0.002575
                     17,                 1.1945,                  1.135,                0.87238,                0.51441,                 0.5761,                0.57516,                0.36155,                 1.2345,                 1.2084,                0.86244,                0.00208,                0.00208,                0.00208
                     18,                 1.1781,                 1.1153,                0.87034,                0.51498,                0.57794,                0.57678,                0.36295,                 1.2326,                 1.2053,                0.86229,               0.001585,               0.001585,               0.001585
                     19,                  1.153,                   1.09,                0.86499,                0.51461,                0.58166,                0.57795,                0.36406,                 1.2293,                 1.2019,                0.86204,                0.00109,                0.00109,                0.00109
